,year,aug
1,1984,14.28492927
2,1985,15.44896001
3,1986,15.61505944
4,1987,14.91513487
5,1988,14.76675946
6,1989,14.19285776
7,1990,15.03331692
8,1991,14.76352683
9,1992,14.64958829
10,1993,14.59034595
11,1994,13.87935122
12,1995,14.29496429
13,1996,12.82137807
14,1997,14.58851019
15,1998,15.75513155
16,1999,17.92064392
17,2000,16.9257619
18,2001,16.77433812
19,2002,16.45178905
20,2003,16.31140504
21,2004,14.95992783
22,2005,14.22865829
23,2006,14.88219663
24,2007,16.55544281
25,2008,15.0385844
26,2009,14.58848606
27,2010,13.66723319
28,2011,13.84895353
29,2012,15.94387859
30,2013,17.63512581
31,2014,16.88118415
32,2015,16.23837663
33,2016,16.0656253
34,2017,17.01382488
35,2018,16.31338506
36,2019,18.29124676
37,2020,NA
38,2021,18.39838287
39,2022,17.0809441
40,2023,21.55949803
41,2024,13.22781786
