"year","CF"
1986,16.1545904876048
1987,13.6288934769854
1988,13.259099253788
1989,NA
1990,12.9243097222967
1991,14.3865379037464
1992,11.6274466330516
1993,10.2138887915607
1994,12.704891462467
1995,14.2500157973675
1996,13.3869285119684
1997,14.9716089426916
1998,13.0688790740797
1999,14.1960237689037
2000,18.0654097319104
2001,16.6453070936111
2002,14.9566659512165
2003,14.9026237375918
2004,14.4720952641757
2005,13.2583428937015
2006,15.2437382508131
2007,15.4822851977893
2008,15.3960059742197
2009,13.2745494785008
2010,12.1798271159287
2011,14.1287053147009
2012,15.9296245009978
2013,16.4122583611178
2014,18.4634407465428
2015,NA
2016,17.1017886794274
2017,17.3262312097164
2018,15.1459765459286
2019,19.452902337312
